Legend:Type,Name,Bonus,Points,Blue,White,Black,Green,Red
1,Card01,Green,0,1,0,1,2,1
1,Card02,Red,0,0,1,1,1,2
1,Card03,Black,0,3,1,0,1,0
1,Card04,Black,0,1,2,0,0,0
1,Card05,Black,0,1,0,2,0,2
1,Card06,Blue,0,2,2,0,0,1
1,Card07,Blue,0,2,1,0,1,1
1,Card08,White,0,0,0,1,1,3
1,Card09,White,0,2,0,0,1,0
1,Card10,White,0,1,2,1,1,0
1,Card11,Red,1,0,0,0,0,4
1,Card12,Red,0,0,0,0,0,3
1,Card13,Red,0,2,0,0,0,2
1,Card14,Green,0,1,0,1,1,1
1,Card15,Green,0,3,0,0,0,0
1,Card16,Green,0,2,0,1,2,0
1,Card17,Red,0,1,0,0,3,1
1,Card18,White,1,0,4,0,0,0
1,Card19,White,0,1,1,1,1,0
1,Card20,Black,0,1,1,2,0,2
1,Card21,Black,1,0,0,4,0,0
1,Card22,Blue,0,1,3,1,0,0
1,Card23,Green,0,0,0,1,0,2
1,Card24,Blue,1,4,0,0,0,0
1,Card25,White,0,0,0,3,0,0
1,Card26,Green,1,0,0,0,4,0
1,Card27,Black,0,0,2,0,0,2
1,Card28,Black,0,1,1,1,0,1
1,Card29,Green,0,2,0,2,0,0
1,Card30,Blue,0,1,1,0,1,1
1,Card31,Green,0,0,1,3,0,1
1,Card32,Red,0,0,1,2,0,0
1,Card33,Blue,0,0,0,0,3,0
1,Card34,White,0,0,0,2,2,0
1,Card35,Blue,0,0,2,0,2,0
1,Card36,Red,0,0,1,1,1,1
1,Card37,White,0,0,2,2,1,0
1,Card38,Black,0,0,3,0,0,0
1,Card39,Blue,0,0,0,0,2,1
1,Card40,Red,0,0,1,0,2,2
2,Card01,Black,1,0,2,2,0,3
2,Card02,Blue,2,0,0,5,0,0
2,Card03,Green,3,0,6,0,0,0
2,Card04,Black,2,3,5,0,0,0
2,Card05,White,3,0,0,0,0,6
2,Card06,Green,2,0,3,5,0,0
2,Card07,Blue,1,0,3,2,3,0
2,Card08,White,1,3,0,3,0,2
2,Card09,Red,2,0,0,0,5,3
2,Card10,White,2,4,1,0,2,0
2,Card11,Black,1,0,3,0,2,3
2,Card12,Black,3,0,0,0,6,0
2,Card13,Black,2,0,0,0,0,5
2,Card14,Blue,2,1,0,0,4,2
2,Card15,Red,3,6,0,0,0,0
2,Card16,Green,1,3,2,0,0,3
2,Card17,Green,2,0,5,0,0,0
2,Card18,Red,2,0,2,4,0,1
2,Card19,Blue,3,0,0,6,0,0
2,Card20,Green,2,0,0,2,1,4
2,Card21,Red,2,0,0,0,5,0
2,Card22,Black,2,2,4,1,0,0
2,Card23,Red,1,2,0,3,3,0
2,Card24,Blue,1,3,2,2,0,0
2,Card25,Blue,2,0,0,3,0,5
2,Card26,Green,1,0,0,3,2,2
2,Card27,White,2,5,0,0,3,0
2,Card28,Red,1,2,0,0,3,2
2,Card29,White,1,2,3,0,2,0
2,Card30,White,2,5,0,0,0,0
3,Card01,Blue,5,0,0,3,0,7
3,Card02,Red,4,3,6,3,0,0
3,Card03,White,3,5,3,3,3,0
3,Card04,Red,5,3,7,0,0,0
3,Card05,Blue,4,0,0,3,3,6
3,Card06,Green,3,3,0,3,3,5
3,Card07,Blue,3,3,3,0,5,3
3,Card08,Green,4,0,0,7,0,0
3,Card09,Black,4,7,0,0,0,0
3,Card10,Black,4,6,3,0,3,0
3,Card11,Green,4,0,3,6,0,3
3,Card12,Green,5,0,3,7,0,0
3,Card13,White,5,0,0,0,7,3
3,Card14,Black,5,7,0,0,3,0
3,Card15,Red,4,0,7,0,0,0
3,Card16,Blue,4,0,0,0,0,7
3,Card17,Red,3,0,3,5,3,3
3,Card18,White,4,3,0,0,6,3
3,Card19,Black,3,3,5,3,0,3
3,Card20,White,4,0,0,0,7,0
N,Noble01,NA,3,0,0,0,4,4
N,Noble02,NA,3,0,3,3,0,3
N,Noble03,NA,3,3,3,3,0,0
N,Noble04,NA,3,3,3,0,3,0
N,Noble05,NA,3,3,0,0,3,3
N,Noble06,NA,3,0,0,4,0,4
N,Noble07,NA,3,4,0,0,4,0
N,Noble08,NA,3,0,0,3,3,3
N,Noble09,NA,3,4,4,0,0,0
N,Noble10,NA,3,0,4,4,0,0
